"visitor_id","visit_date","utm_source","utm_medium","utm_campaign","lead_id","created_at","amount","closing_reason","status_id"
"0c12da089c413e0eb38283a6d784a0fc1235f095",2023-06-20 19:51:26.004,,,,"25043949",2023-06-21 22:20:38.000,356400,Успешная продажа,142
cc67c1f855c7cd738134f65c6b45ce2fdc40cfc1,2023-06-21 05:37:36.565,,,,"47589182",2023-06-22 08:26:20.000,268200,Успешная продажа,142
"883fe40b45518e8eebec57d815caffc4fa2c7993",2023-06-28 15:12:16.901,,,,"16809544",2023-06-29 13:39:51.000,265174,Успешная продажа,142
"5b4c17ee7b2d60aeba27c2700b083bc0dc3a064e",2023-06-01 16:00:22.570,,,,"51394045",2023-06-01 19:43:02.000,242248,Успешная продажа,142
"35060e525ca62de0a0aa93992c7e07799d855f79",2023-06-05 09:36:54.501,yandex,cpc,prof-frontend,"26066151",2023-06-15 12:52:40.000,237990,Успешная продажа,142
"69779f8aaaf5b3361d217d386d6cd58da613f6c9",2023-06-02 09:03:02.114,,,,"51110100",2023-06-02 12:09:14.000,223500,Успешная продажа,142
e7331699cb71cfce47f15721a20c02ba7e72aee1,2023-06-20 17:57:06.443,,,,"75813315",2023-06-20 21:14:15.000,211083,Успешная продажа,142
"72cc1ed9e40c0f5751e08b155a17460846c35e20",2023-06-01 10:45:05.607,,,,"42478172",2023-06-01 14:06:28.000,201150,Успешная продажа,142
d183fbda6f03b965a1cd1cee0a3f7b81a44b78ec,2023-06-01 14:39:00.000,yandex,cpc,base-frontend,"74450379",2023-06-30 14:36:31.000,201150,Успешная продажа,142
ca003c89182365dd75262e54772fda03ee923e92,2023-06-01 04:58:00.000,vk,cpc,freemium-frontend,"48838540",2023-06-20 20:49:16.000,189210,Успешная продажа,142
